All-In-One Workstation Sinks,min_mat,avg_mat,max_mat,min_lab,avg_lab,max_lab,Anchors,Asphalt Crack Filler,Butcher Block,Dewatering Bags,Dryer Vent Caps,Cross Braces,Anti-Fog Mirrors,Bracket,Armstrong Ceilings,Accessories,Base Cap,Bluetooth Speaker,Bathroom Vanities with Tops,Finished,ADA Compliant Toilets,Adhesives,Alloy,1-Hole Faucets,Corner Angles,Corner Beads,Chain Link Fencing,2-n-1 Extension Step Ladders,Fixed,Area Rugs,Attachments,Shower Benches
,38.25,45.0,54.0,18.0,29.25,40.5,,Asphalt Patch,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Asphalt Sealant,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Brick,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Brick Towels,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Cement Aggregates,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Cement Tools,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Cinder Blocks,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Concrete Aggregates,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Concrete Block,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Concrete Edgers,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Concrete Floats,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Concrete Forms,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Concrete Mix,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Concrete Mixers,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Concrete Patch,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Concrete Sealant,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Concrete Stamps,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Concrete Tools,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Concrete Trowels,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Fire Brick,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Hydraulic Cement,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Landscape Gravel,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Landscape Rocks,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Masonary Mix,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Masonary Tools,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Mixing Tubs,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Mortar Mix,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Mortar Repair,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Rebar,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Remesh,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Sand,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Stucco Mix,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,Wire Mesh,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,Countertop Brackets,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,Custom Countertops,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,Custom Laminate,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,Custom Marble,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,Custom Quartz,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,Custom Solid Surface,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,Customer Granite,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,Customer Ultra Durable,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,Granite,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,Laminate,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,Laminate Sheets,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,Marble,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,Quartz,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,Solid Surface,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,Thinscape,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,Ultra Durable,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,Drainage Composites,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,Erosion Control Blankets,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,Erosion Control Logs,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,Erosion Control Wattles,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,Erosion Fencing,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,Flood Bags,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,Geogrids,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,Geotextiles,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,Sand Bags,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,Turbidity Curtains,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,Dryer Vent Kits,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,Foundation Vents,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,Gable Vents,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,Roof Ridge Vents,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,Soffit Vents,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Gin Block Pulley,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Hoist Post,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Ladder Planks,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Locking Arms,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Pig Tail Locks,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Pump Jack Components,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Rolling Scaffolds,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffold Brackets,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffold Canopy Tops,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffold Clamps,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffold Extensions,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffold Guardrails,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffold Leveling Jacks,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffold Outriggers,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffold Pins,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffold Plank Ties,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffold Tie-Off Bars,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffold Trestles,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffold Wall Anchor,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffolding Baseplates,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffolding Bench Rollers,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffolding Parts,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffolding Planks,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffolding Platforms,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffolding Sets,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffolding Stages,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffolding Towers,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Scaffolding Wheels,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Squaring Braces,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,Toe Boards,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,Bathroom Mirror,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,Bedroom Mirror,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,Gym Mirror,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,Makeup Mirrors,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,Mirror-framing Kits,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,Vanity Mirrors,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,Downspout Elbows,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,Downspout Extensions,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,Downspout Guards,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,Downspouts,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,Gutter Connectors,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,Gutter End Caps,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,Gutter Guards,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,Gutter Hardware,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,Gutter System,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,Gutters,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,Hanger,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,Splash Blocks,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,Drop,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,Surface-mount,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,White,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,Acrylic Sheets,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,Corrugated Plastic Sheets,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,Foam PVC Sheets,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,Glass Block,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,Glass Block Accessories,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,Glass Cutters,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,HDPE Sheets,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,Plexiglass,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,Polycarbonate,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,Replacemnt Glass,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,Rubber Rolls,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,Rubber Sheets,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,Silicone Rolls,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,Silicone Sheets,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,Baseboard,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,Chair Rail,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,Corner Blocks,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,Crown Molding,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,Door Molding,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,General Purpose Molding,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,Picture Frame Molding,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,Quarter Round,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,Shoe Round,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,Wall Niches,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,Window Molding,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,Ceiling,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,Filters,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,Flush Mount,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,Heater,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,Humidity Sensing,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,Light,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,Motion Sensing,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,Motors,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,Mounting Kits,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,Night Light,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,Parts,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,Recessed Mount,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,Replacement Lens,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,Surface Mount,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,Upgrade Kits,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,Wall,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,,Bathroom Vanities without Tops,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,,Bathroom Vanity Sets,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,,Double Sink Bathroom Vanities,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,,Single Sink Bathroom Vanities,,,,,,,,,,,,,
